                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 2.4642,                 1.5275,                  1.691,                0.81402,                0.55164,                0.65127,                0.40372,                 2.1624,                 1.2359,                 1.6694,             0.00021875,             0.00021875,             0.00021875
                     52,                 2.4126,                 1.4865,                  1.685,                0.76279,                0.58299,                0.65805,                0.41048,                 2.1714,                 1.2385,                 1.6636,             0.00019813,             0.00019813,             0.00019813
                     53,                 2.3906,                  1.475,                 1.6886,                0.75815,                 0.6129,                0.64248,                0.40365,                 2.1876,                 1.2456,                 1.6664,              0.0001775,              0.0001775,              0.0001775
                     54,                  2.404,                 1.4812,                 1.6795,                0.80717,                0.55919,                0.65833,                0.40393,                 2.1589,                 1.2231,                  1.665,             0.00015688,             0.00015688,             0.00015688
                     55,                 2.3735,                 1.4578,                 1.6769,                0.78968,                 0.5854,                0.65782,                0.40726,                 2.1317,                 1.2065,                  1.661,             0.00013625,             0.00013625,             0.00013625
                     56,                 2.3199,                 1.4243,                 1.6765,                0.73406,                0.63703,                0.65299,                0.41312,                 2.1155,                  1.191,                 1.6606,             0.00011563,             0.00011563,             0.00011563
                     57,                 2.3256,                 1.4045,                 1.6818,                0.76145,                0.61858,                0.66483,                0.41461,                 2.1012,                 1.1992,                 1.6587,                9.5e-05,                9.5e-05,                9.5e-05
                     58,                 2.2969,                 1.3769,                 1.6824,                0.75548,                0.62744,                0.66722,                 0.4167,                 2.1101,                 1.1932,                 1.6581,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     59,                 2.3357,                 1.4163,                 1.6711,                 0.7613,                0.62347,                0.66682,                0.41676,                 2.1057,                 1.1868,                 1.6568,              5.375e-05,              5.375e-05,              5.375e-05
                     60,                 2.3341,                 1.4109,                 1.6728,                0.74921,                0.63844,                0.67115,                0.42215,                 2.0964,                 1.1799,                 1.6565,             3.3125e-05,             3.3125e-05,             3.3125e-05
